Session;Instrument;Reference price;Last price;+Intraday high;+ Intraday low;Number of shares traded;Capitalisation
31/03/2020;ZELLIDJA S.A;0,00;87,90;-;-;0;50353427,10
30/03/2020;ZELLIDJA S.A;0,00;87,90;-;-;0;50353427,10
27/03/2020;ZELLIDJA S.A;0,00;87,90;-;-;0;50353427,10
26/03/2020;ZELLIDJA S.A;0,00;87,90;-;-;0;50353427,10
25/03/2020;ZELLIDJA S.A;0,00;87,90;-;-;0;50353427,10
24/03/2020;ZELLIDJA S.A;87,90;87,90;87,90;87,90;6;50353427,10
23/03/2020;ZELLIDJA S.A;0,00;87,90;-;-;0;50353427,10
20/03/2020;ZELLIDJA S.A;87,90;87,90;87,90;87,90;20;50353427,10
19/03/2020;ZELLIDJA S.A;0,00;87,00;-;-;0;49837863,00
18/03/2020;ZELLIDJA S.A;87,00;87,00;87,00;87,00;40;49837863,00
17/03/2020;ZELLIDJA S.A;0,00;87,05;-;-;0;49866505,50
16/03/2020;ZELLIDJA S.A;87,05;87,05;87,05;87,05;2;49866505,50
13/03/2020;ZELLIDJA S.A;0,00;92,60;-;-;0;53045817,40
12/03/2020;ZELLIDJA S.A;92,60;92,60;92,60;92,60;5;53045817,40
11/03/2020;ZELLIDJA S.A;0,00;98,50;-;-;0;56425626,50
10/03/2020;ZELLIDJA S.A;0,00;98,50;-;-;0;56425626,50
09/03/2020;ZELLIDJA S.A;0,00;98,50;-;-;0;56425626,50
06/03/2020;ZELLIDJA S.A;0,00;98,50;-;-;0;56425626,50
05/03/2020;ZELLIDJA S.A;0,00;98,50;-;-;0;56425626,50
04/03/2020;ZELLIDJA S.A;0,00;98,50;-;-;0;56425626,50
03/03/2020;ZELLIDJA S.A;0,00;98,50;-;-;0;56425626,50
02/03/2020;ZELLIDJA S.A;0,00;98,50;-;-;0;56425626,50
28/02/2020;ZELLIDJA S.A;0,00;98,50;-;-;0;56425626,50
27/02/2020;ZELLIDJA S.A;0,00;98,50;-;-;0;56425626,50
26/02/2020;ZELLIDJA S.A;0,00;98,50;-;-;0;56425626,50
25/02/2020;ZELLIDJA S.A;0,00;98,50;-;-;0;56425626,50
24/02/2020;ZELLIDJA S.A;98,50;98,50;98,50;98,50;1;56425626,50
